Nom;Luminosité;Difficulté;Température;Arrosage;Allergène animaux;Type;Description;Photo;Catégorie;Humidité préférée;Taille adulte;Vitesse de croissance;Besoin de rempotage;Facilité d’entretien globale;Esthétique;Purifie l’air;Type de croissance
Monstera;Moyen;Moyen;18-28°C;Moyenne;Oui;Plante grimpante;Feuilles découpées, tropicale;https://upload.wikimedia.org/wikipedia/commons/e/e5/Monstera_deliciosa4.jpg?20060104205338;Tropicale;Modéré;Grande;Rapide;Occasionnel;Moyen;Feuillage décoratif;Oui;Grimpante
Sansevière;Faible;Facile;15-30°C;Faible;Oui;Succulente;Feuilles rigides verticales, très résistante;https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Snake_plant.jpg/960px-Snake_plant.jpg;Succulente;Sec;Moyenne;Lente;Rare;Facile;Feuillage décoratif;Oui;Verticale
Figuier lyre;Moyen;Moyen;18-25°C;Moyenne;Oui;Plante d’intérieur;Feuilles larges en forme de lyre;https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Snake_plant.jpg/960px-Snake_plant.jpg;Tropicale;Modéré;Grande;Rapide;Occasionnel;Moyen;Feuillage décoratif;Oui;Verticale
Epipremnum aureum;Faible;Facile;16-28°C;Moyenne;Oui;Plante grimpante;Feuillage vert brillant, facile à entretenir;https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Snake_plant.jpg/960px-Snake_plant.jpg;Grimpante;Modéré;Moyenne;Rapide;Occasionnel;Facile;Feuillage décoratif;Oui;Grimpante
Aloe vera;Fort;Facile;18-30°C;Faible;Oui;Succulente;Plante médicinale, feuilles charnues;https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Echte_Aloe_von_oben.JPG/500px-Echte_Aloe_von_oben.JPG;Succulente;Sec;Petite;Lente;Rare;Facile;Feuillage décoratif;Non;Verticale
Calathéa;Moyen;Moyen;18-24°C;Élevée;Non;Tropicale;Feuilles colorées et décoratives;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Taxonomic_hierarchy.svg/547px-Taxonomic_hierarchy.svg.png;Tropicale;Humide;Moyenne;Moyenne;Occasionnel;Moyen;Feuillage décoratif;Non;Verticale
Dracaena;Moyen;Facile;18-28°C;Moyenne;Oui;Plante d’intérieur;Feuilles longues et fines;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Dracaena_marginata_IndoorPlant_0605k.jpg/330px-Dracaena_marginata_IndoorPlant_0605k.jpg;Tropicale;Modéré;Grande;Rapide;Occasionnel;Moyen;Feuillage décoratif;Oui;Verticale
Zamioculcas;Faible;Très facile;15-30°C;Faible;Oui;Plante d’intérieur;Feuilles vert foncé, résistante à la sécheresse;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Zamioculcas_zamiifolia_1.jpg/960px-Zamioculcas_zamiifolia_1.jpg;Succulente;Sec;Moyenne;Lente;Rare;Facile;Feuillage décoratif;Oui;Verticale
Cactus;Fort;Facile;18-35°C;Faible;Non;Succulente;Plante désertique, facile à entretenir;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Various_Cactaceae.jpg/960px-Various_Cactaceae.jpg;Succulente;Sec;Petite;Lente;Rare;Facile;Feuillage décoratif;Non;Verticale
Hibiscus;Fort;Moyen;20-28°C;Moyenne;Non;Fleurie;Fleurs colorées, tropicale;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Hibiscus_fragilis-IMG_5863.jpg/960px-Hibiscus_fragilis-IMG_5863.jpg;Fleurie;Modéré;Moyenne;Moyenne;Occasionnel;Moyen;Fleurie;Non;Verticale
Lys de paix;Moyen;Moyen;18-25°C;Élevée;Oui;Fleurie;Fleurs blanches élégantes, purifie l’air;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Spathiphyllum_wallisii_a3.jpg/960px-Spathiphyllum_wallisii_a3.jpg;Fleurie;Modéré;Moyenne;Moyenne;Occasionnel;Moyen;Fleurie;Oui;Verticale
Bégonia;Moyen;Moyen;18-24°C;Moyenne;Non;Fleurie;Feuillage décoratif, fleurs colorées;https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/2010._%D0%92%D1%8B%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0_%D1%86%D0%B2%D0%B5%D1%82%D0%BE%D0%B2_%D0%B2_%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D0%BA%D0%B5_%D0%BD%D0%B0_%D0%B4%D0%B5%D0%BD%D1%8C_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0_86.jpg/500px-2010._%D0%92%D1%8B%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0_%D1%86%D0%B2%D0%B5%D1%82%D0%BE%D0%B2_%D0%B2_%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D0%BA%D0%B5_%D0%BD%D0%B0_%D0%B4%D0%B5%D0%BD%D1%8C_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0_86.jpg;Fleurie;Humide;Moyenne;Moyenne;Occasionnel;Moyen;Mix;Non;Verticale
Peperomia;Moyen;Facile;18-25°C;Moyenne;Non;Plante d’intérieur;Petites feuilles épaisses, compactes;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Peperomia_obtusifolia_Guadeloupe.JPG/960px-Peperomia_obtusifolia_Guadeloupe.JPG;Succulente;Modéré;Petite;Lente;Rare;Facile;Feuillage décoratif;Non;Verticale
Orchidée;Moyen;Moyen;18-24°C;Moyenne;Non;Fleurie;Fleurs délicates et élégantes;https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/PhalaenopsisOphrysPaphiopedilumMaxillaria.jpg/560px-PhalaenopsisOphrysPaphiopedilumMaxillaria.jpg;Fleurie;Modéré;Moyenne;Lente;Occasionnel;Moyen;Fleurie;Non;Verticale
Chlorophytum;Moyen;Facile;16-28°C;Moyenne;Non;Plante d’intérieur;Feuilles longues, pousse facilement des bébés;https://upload.wikimedia.org/wikipedia/commons/3/34/Chlorophytum_comosum0.jpg;Tropicale;Modéré;Moyenne;Rapide;Occasionnel;Facile;Feuillage décoratif;Oui;Retombante
Echeveria;Fort;Facile;18-30°C;Faible;Non;Succulente;Rosette de feuilles charnues, très décorative;https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Echeveria_elegans0.jpg/560px-Echeveria_elegans0.jpg;Succulente;Sec;Petite;Lente;Rare;Facile;Feuillage décoratif;Non;Verticale
Maranta;Moyen;Moyen;18-25°C;Élevée;Non;Tropicale;Feuilles qui se replient la nuit;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Maranta_leuconeura0.jpg/560px-Maranta_leuconeura0.jpg;Tropicale;Humide;Moyenne;Moyenne;Occasionnel;Moyen;Feuillage décoratif;Non;Verticale
Anthurium;Moyen;Moyen;18-28°C;Élevée;Oui;Fleurie;Fleurs rouges ou roses brillantes;https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Starr_080103-1397_Anthurium_andraeanum.jpg/960px-Starr_080103-1397_Anthurium_andraeanum.jpg;Fleurie;Humide;Moyenne;Moyenne;Occasionnel;Moyen;Fleurie;Oui;Verticale
Figuier à feuilles de violon;Moyen;Moyen;18-28°C;Moyenne;Oui;Plante d’intérieur;Feuilles larges et décoratives;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS9raCntoI9M2lIgV2Z1dcAvvm6VxTtSTJFdCaJ7l1fGUnovhhe30ipFZ8OxoRztpkYVhYww2xeLzdJqEZ-cvO99Pn4ifjxL9icayZ9JiB2;Tropicale;Modéré;Grande;Rapide;Occasionnel;Moyen;Feuillage décoratif;Oui;Verticale
Pilea;Moyen;Facile;16-25°C;Moyenne;Non;Plante d’intérieur;Feuilles rondes et arrondies, facile à multiplier;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Pilea_peperomioides_02.jpg/500px-Pilea_peperomioides_02.jpg;Succulente;Modéré;Petite;Rapide;Occasionnel;Facile;Feuillage décoratif;Non;Verticale
