Nom;Luminosité;Difficulté;Température;Arrosage;Allergène animaux;Type;Description;Photo;emplacement;Budget
Monstera;Moyen;Moyen;18-28°C;Toutes les 2 à 3 semaines;Oui;Plante grimpante;la star d’Instagram. Ses feuilles découpées transforment ton salon en jungle tropicale, même si tu vis au 6ᵉ sans balcon. Elle pousse vite, parfois plus que ton envie d’arroser.;https://upload.wikimedia.org/wikipedia/commons/e/e5/Monstera_deliciosa4.jpg?20060104205338;Interieur;5
Sansevière;Faible;Facile;15-30°C;Toutes les 2 à 3 semaines;Oui;Succulente;l’armée verte des fainéants. Elle survit à tout : oubli, sécheresse, rupture. Laisse-la tranquille, elle t’aimera quand même.;https://cloudfront-eu-central-1.images.arcpublishing.com/lpguideshopping/7AA5H573CVDSFDU5PWSCJQOG7Q.jpg;Interieur;10
Figuier lyre;Moyen;Moyen;18-25°C;Tous les 7 à 12 jours;Oui;Plante d’intérieur;la diva du salon. Il veut de la lumière, de la chaleur et zéro courant d’air. En échange, il te donne l’impression de vivre dans un magazine déco.;https://www.natura-beziers.com/cdn/shop/articles/Ficus_Lyrata_Tige_boule_240cm_Plantes_d_interieur_Jardinerie_Urbaine-Beziers-Centre_ville_Herault_vente_en_ligne_1445x.png?v=1719063455;Interieur;15
Epipremnum aureum;Faible;Facile;16-28°C;Toutes les 2 à 3 semaines;Oui;Plante grimpante;le pote qui s’accroche partout. Il grimpe, cascade et te pardonne tous tes oublis d’arrosage. Le lierre tropical dont tu avais besoin sans le savoir.;https://www.gardenstuff.it/36441-large_default/pothos-epipremnum-aureum-ou-scindapsus-aurens.jpg;Exterieur;15
Aloe vera;Fort;Facile;18-30°C;Toutes les 2 à 3 semaines;Oui;Succulente;le médecin de poche. Soigne tes coups de soleil, ton égo et ton appart sec comme le Sahara. Attention, il déteste le trop-plein d’eau.;https://www.au-jardin-bio.com/wp-content/uploads/IMG_0087-scaled.jpg;Interieur;15
Calathéa;Moyen;Moyen;18-24°C;Tous les 3 à 6 jours;Non;Tropicale;la drama queen des feuillages. Elle bouge ses feuilles la nuit, exige de l’humidité et du respect. Mais quel show.;https://www.bobylaplante.com/cdn/shop/products/bobylaplante-produits-plantes-plantes_d_interieur-calathea_makoyana-1.jpg?v=1662732123;Interieur;15
Dracaena;Moyen;Facile;18-28°C;Tous les 7 à 12 jours;Oui;Plante d’intérieur;une plante sobre, élégante et indestructible. Elle encaisse les néons de bureau et les semaines sans eau avec un calme zen.;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Dracaena_marginata_IndoorPlant_0605k.jpg/330px-Dracaena_marginata_IndoorPlant_0605k.jpg;Interieur;15
Zamioculcas;Faible;Très facile;15-30°C;Toutes les 2 à 3 semaines;Oui;Plante d’intérieur;le soldat vert. Feuilles lustrées, zéro exigence, survie garantie. Si tu la tues, c’est que tu l’as vraiment voulu.;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Zamioculcas_zamiifolia_1.jpg/960px-Zamioculcas_zamiifolia_1.jpg;Interieur;10
Cactus;Fort;Facile;18-35°C;Toutes les 4 à 6 semaines;Non;Succulente;le minimaliste par excellence. Il boit une fois tous les six mois et déteste les câlins. Respecte sa bulle.;https://www.bumbleplants.com/cdn/shop/articles/Benefits_of_Flowering_Cactus_Plants.jpg?v=1756190479&width=1920;Interieur;5
Hibiscus;Fort;Moyen;20-28°C;Tous les 7 à 12 jours;Non;Fleurie;le vacancier éternel. Il veut du soleil, de l’eau et de l’attention. En échange, il te sort des fleurs de carte postale.;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Hibiscus_fragilis-IMG_5863.jpg/960px-Hibiscus_fragilis-IMG_5863.jpg;Exterieur;5
Lys de paix;Moyen;Moyen;18-25°C;Tous les 2 à 3 jours;Oui;Fleurie;le moine zen du salon. Il purifie l’air, adore l’ombre et s’épanouit quand tu ne le stresses pas.;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Spathiphyllum_wallisii_a3.jpg/960px-Spathiphyllum_wallisii_a3.jpg;Exterieur;5
Bégonia;Moyen;Moyen;18-24°C;Tous les 7 à 12 jours;Non;Fleurie;la diva colorée. Un peu capricieuse, souvent splendide, et totalement consciente de son effet.;https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/2010._%D0%92%D1%8B%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0_%D1%86%D0%B2%D0%B5%D1%82%D0%BE%D0%B2_%D0%B2_%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D0%BA%D0%B5_%D0%BD%D0%B0_%D0%B4%D0%B5%D0%BD%D1%8C_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0_86.jpg/500px-2010._%D0%92%D1%8B%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0_%D1%86%D0%B2%D0%B5%D1%82%D0%BE%D0%B2_%D0%B2_%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D0%BA%D0%B5_%D0%BD%D0%B0_%D0%B4%D0%B5%D0%BD%D1%8C_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0_86.jpg;Exterieur;15
Peperomia;Moyen;Facile;18-25°C;Tous les 7 à 12 jours;Non;Plante d’intérieur;une mini plante avec un maxi charme. Elle vit bien avec peu de lumière, mais aime être complimentée.;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Peperomia_obtusifolia_Guadeloupe.JPG/960px-Peperomia_obtusifolia_Guadeloupe.JPG;Interieur;10
Orchidée;Moyen;Moyen;18-24°C;Tous les 7 à 12 jours;Non;Fleurie;l’élégance incarnée. Elle te fera croire qu’elle est fragile, puis refleurira pile quand tu pensais qu’elle était morte.;https://www.interflora.fr/fstrz/r/s/www.datocms-assets.com/105487/1744683226-b5oj-thumbmay-primary-0-1.jpg;Exterieur;15
Chlorophytum;Moyen;Facile;16-28°C;Tous les 7 à 12 jours;Non;Plante d’intérieur;le parent modèle. Il nettoie l’air, se reproduit sans arrêt et pardonne tout. Bref, une success story végétale.;https://upload.wikimedia.org/wikipedia/commons/3/34/Chlorophytum_comosum0.jpg;Interieur;15
Echeveria;Fort;Facile;18-30°C;Toutes les 2 à 3 semaines;Non;Succulente;la petite rosette du désert. Elle garde son eau, sa dignité et son calme même en canicule.;https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Echeveria_elegans0.jpg/560px-Echeveria_elegans0.jpg;Interieur;10
